College,Department,Prefix,Number,Title,Credits,Attributes
College of Arts and Sciences,Department of History,AMH,2010,American History I,3, SGES
College of Arts and Sciences,Department of History,AMH,2020,American History II,3," SCIV, SGES"
College of Arts and Sciences,School of Interdisciplinary Global Studies,AMH,2401,Segregation in the United States,3, SD10
College of Arts and Sciences,Department of History,AMH,3098,Race in America,3,
College of Arts and Sciences,Department of History,AMH,3130,The American Revolutionary Era,3,
College of Arts and Sciences,Department of History,AMH,3140,The Age of Jefferson,3,
College of Arts and Sciences,Department of History,AMH,3160,The Age of Jackson,3,
College of Arts and Sciences,Department of History,AMH,3170,The Civil War and Reconstruction,3,
College of Arts and Sciences,Department of History,AMH,3201,"The United States, 1877-1914",3,
College of Arts and Sciences,Department of History,AMH,3231,"The United States, 1914-1945",3,
College of Arts and Sciences,Department of History,AMH,3270,The United States since 1945,3,
College of Arts and Sciences,Department of History,AMH,3321,History of AIDS,3,
College of Arts and Sciences,Department of History,AMH,3341,American Food and Drink History,3,
College of Arts and Sciences,Department of History,AMH,3390,19th Century America History,3,
College of Arts and Sciences,Department of History,AMH,3402,"Southern History, 1607-1865",3,
College of Arts and Sciences,Department of History,AMH,3421,Early Florida,3,
College of Arts and Sciences,Department of History,AMH,3423,Modern Florida,3,
College of Arts and Sciences,Department of History,AMH,3428,Doing Local History: Tampa Bay,3," CEL, SD04, SD11, TGEE"
College of Arts and Sciences,Department of History,AMH,3500,American Labor History,3,
College of Arts and Sciences,Department of History,AMH,3512,U.S. Foreign Relations,3,
College of Arts and Sciences,Department of History,AMH,3519,United States in the Middle East,3,
College of Arts and Sciences,Department of History,AMH,3530,Immigration History,3,
College of Arts and Sciences,Department of History,AMH,3533,The Irish in America,3,
College of Arts and Sciences,Department of History,AMH,3561,American Women I,3,
College of Arts and Sciences,Department of History,AMH,3562,American Women II,3,
College of Arts and Sciences,School of Interdisciplinary Global Studies,AMH,3571,African American History to 1865,3,
College of Arts and Sciences,School of Interdisciplinary Global Studies,AMH,3572,African American History since 1865,3,
College of Arts and Sciences,Department of History,AMH,3630,American Environmental History,3,
College of Arts and Sciences,Department of History,AMH,3674,American Slavery and Abolition,3,
College of Arts and Sciences: School of Humanities,Department of History,AMH,6116,Early American History,3,
College of Arts and Sciences: School of Humanities,Department of History,AMH,6199,Nineteenth-Century United States History,3,
College of Arts and Sciences: School of Humanities,Department of History,AMH,6935,"US History, 1877-1945",3,
College of Arts and Sciences,Department of English,AML,3031,American Literature From the Beginnings to 1860,3,
College of Arts and Sciences,Department of English,AML,3032,American Literature From 1860 to 1912,3,
College of Arts and Sciences,Department of English,AML,3051,American Literature From 1912-1945,3,
College of Arts and Sciences,Department of English,AML,3243,American Literature 1945 to the Present,3,
College of Arts and Sciences,Department of English,AML,3604,African American Literature,3, 6AC
College of Arts and Sciences,Department of English,AML,3630,U.S. Latino/Latina Literature in English,3,
College of Arts and Sciences,Department of English,AML,3641,Native American Literature and Film,3,
College of Arts and Sciences,Department of English,AML,3674,Asian American Literature and Film,3,
College of Arts and Sciences,Department of English,AML,4111,Nineteenth-Century American Novel,3,
College of Arts and Sciences,Department of English,AML,4121,Twentieth-Century American Novel,3,
College of Arts and Sciences,Department of English,AML,4261,Literature of the South,3,
College of Arts and Sciences,Department of English,AML,4300,Selected American Authors,3,
College of Arts and Sciences,Department of English,AML,4931,American Literary Movements and Genres,3,
College of Arts and Sciences,Department of English,AML,4933,Studies in American Literature and Culture,3,
College of Arts and Sciences: School of Humanities,Department of English,AML,5305,Studies in Individual American Authors,3,
College of Arts and Sciences: School of Humanities,Department of English,AML,6017,Studies in American Literature to 1860,3,
College of Arts and Sciences: School of Humanities,Department of English,AML,6018,Studies in American Literature 1860 to 1920,3,
College of Arts and Sciences: School of Humanities,Department of English,AML,6027,Studies in Modern American Literature,3,
College of Arts and Sciences: School of Humanities,Department of English,AML,6608,Studies in African American Literature,3,
College of Arts and Sciences: School of Humanities,Department of English,AML,6637,Studies in US Latina/Latino Literatures,3,
College of Arts and Sciences,Department of Humanities and Cultural Studies,AMS,2030,Introduction to American Studies,3,
College of Arts and Sciences,Department of Humanities and Cultural Studies,AMS,2201,Colonial American Culture,3,
College of Arts and Sciences,Department of Humanities and Cultural Studies,AMS,2270,Twentieth-Century American Culture,3," CLB, SD05, SD10, SD12, SD16, TGEE"
College of Arts and Sciences,Department of Humanities and Cultural Studies,AMS,3212,Nineteenth-Century American Culture,3,
College of Arts and Sciences,Department of Humanities and Cultural Studies,AMS,3302,Architecture and the American Environment,3,
College of Arts and Sciences,Department of Humanities and Cultural Studies,AMS,3601,Material Culture and American Society,3,
College of Arts and Sciences,Department of Humanities and Cultural Studies,AMS,3605,Working Class Culture in America,3,
College of Arts and Sciences,School of Interdisciplinary Global Studies,AMS,3700,Racism in American Society,3," CEL, GCPC, SD04, SD05, SD08, SD09, SD10, SD11, SD16, TGEE"
College of Arts and Sciences,Department of Humanities and Cultural Studies,AMS,3930,Selected Topics in American Studies,1-3,
College of Arts and Sciences,Department of Humanities and Cultural Studies,AMS,4305,Photography and American Society,3,
College of Arts and Sciences,Department of Humanities and Cultural Studies,AMS,4804,America Today,3,
College of Arts and Sciences,Department of Humanities and Cultural Studies,AMS,4910,Individual Research,1-4,
College of Arts and Sciences,Department of Humanities and Cultural Studies,AMS,4930,Selected Topics in American Studies,1-3,
College of Arts and Sciences,Department of Humanities and Cultural Studies,AMS,4932,Topics in American Film,3,
College of Arts and Sciences: School of Humanities,Department of Humanities and Cultural Studies,AMS,6254,Contemporary American Culture: Selected Topics,3,
College of Arts and Sciences: School of Humanities,Department of Humanities and Cultural Studies,AMS,6805,Enduring Questions in American Culture,3,
College of Arts and Sciences: School of Humanities,Department of Humanities and Cultural Studies,AMS,6901,Directed Readings in American Studies,1-3,
College of Arts and Sciences: School of Humanities,Department of Humanities and Cultural Studies,AMS,6915,Directed Research,1-12,
College of Arts and Sciences: School of Humanities,Department of Humanities and Cultural Studies,AMS,6934,Selected Topics,1-3,
College of Arts and Sciences: School of Humanities,Department of Humanities and Cultural Studies,AMS,6940,Internship in American Studies,1-3,
College of Arts and Sciences: School of Humanities,Department of Humanities and Cultural Studies,AMS,6971,Thesis: Master's,2-19,
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,5395,Visual Anthropology,3,
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,5406,"Ethnobotany: People, Plants and Culture",3,
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,5486,Quantitative Methods in Anthropology,3,
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,5901,Directed Reading,1-4,
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,5910,Individual Research,2-4,
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,5937,Seminar in Anthropology,2-4,
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6020,Environmental Justice,3,
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6084,Anthropological Theory Today,3,
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6100,Topics in Archaeological Science,3,
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6110,Archaeology Theory and Current Issues,3,
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6115,Seminar in Archaeology,3,
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6153,Topics in North American Archaeology,3,
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6155,Southeastern U.S. Archaeology,3,
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6175,Topics in Mediterranean Archaeology,3,
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6189,Ancient Diets,3,
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6195,Ancient Trade,3,
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6197,Public Archaeology,3,
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6198,Regional Problems in Methods of Public Archaeology,3,
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6270,Chiefdoms,3,
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6302,Gender in Cross-Cultural Perspective,3,
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6392,Engaging Ethnography,3,
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6404,Health and Medical Systems,3,
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6436,Issues in Heritage Tourism,3,
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6447,Selected Topics in Urban Anthropology,3,
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6463,Social Epidemiology Applied Anthropology,3,
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6469,Selected Topics in Medical Anthropology,3,
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6495,Oral History and Life History: Approaches to Qualitative Research,3,
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6497,Qualitative Research Methods in Anthropology,3,
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6511,Seminar in Physical Anthropology,3,
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6516,Human Variation,3,
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6525,Human Osteology,3,
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6533,Anthropology of Human Growth and Development,3,
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6536,Bioarchaeology,3,
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6570,Nutritional Assessment,3,
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6575,Neuroanthropology,3,
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6584,Evolution and Life History Theory,3,
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6585,Theories in Applied Bioanthropology,3,
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6701,Contemporary Applied Anthropology,3,
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6705,Foundations of Applied Anthropology I,3,
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6706,Foundations of Applied Anthropology II,3,
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6730,Socio Cultural Aspects of HIV/AIDS,3,
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6731,Health and Disasters,3,
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6732,Global Health from an Anthropological Perspective,3,
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6733,Issues in Migrant Health,3,
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6735,Reproductive Health,3,
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6739,Applied Anthropology and International Health,3,
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6741,Introduction to Forensic Sciences,3,
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6745,Forensic Anthropology,3,
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6746,Investigation of Violent Crimes Against Children,3,
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6766,Research Methods in Applied Anthropology,3,
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6770,Crime Scene Reconstruction,3,
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6771,The Science of Missing and Unidentified Persons,3,
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6772,Homicide Investigations,3,
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6905,Independent Study,1-19,
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6915,Directed Research Internship,1-19,
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,6971,Thesis: Master's,2-19,
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,7487,Advanced Quantitative Research Methods Applied Anthropology,3,
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,7704,Legal and Ethical Aspects of Applied Anthropology,3,
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,7708,Selected Topics in Applied Anthropology,3,
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,7709,Applied Anthropology and Human Problems,3,
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,7905,Directed Individual Study,1-15,
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,7910,Directed Research,1-15,
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,7940,Doctoral Internship in Applied Anthropology,1-15,
College of Arts and Sciences: School of Social Sciences,Department of Anthropology,ANG,7980,Dissertation: Doctoral,2-15,
College of Arts and Sciences,Department of Integrative Biology,ANS,3006,Introduction to Animal Science,3,
College of Arts and Sciences,Department of Anthropology,ANT,2000,Introduction to Anthropology,3, SGES
College of Arts and Sciences,Department of Anthropology,ANT,2410,Cultural Anthropology,3," 6AC, TGED"
College of Arts and Sciences,Department of Anthropology,ANT,2464,Global Health from a Social Science Perspective,3,
College of Arts and Sciences,Department of Anthropology,ANT,2511,Biological Anthropology,3,
College of Arts and Sciences,Department of Anthropology,ANT,2511L,Biological Anthropology Laboratory,1,
College of Arts and Sciences,Department of Anthropology,ANT,2721,Anthropology of Urban Education in a Globalizing Age,3," 6AC, SD04, TGEC"
College of Arts and Sciences,Department of Anthropology,ANT,3005,The Anthropological Perspective,3,
College of Arts and Sciences,Department of Anthropology,ANT,3101,Archaeology,3," 6AC, TGEI"
College of Arts and Sciences,Department of Anthropology,ANT,3610,Linguistic Anthropology,3," GCPC, SD10"
College of Arts and Sciences,Department of Anthropology,ANT,4012,Fantastic Archaeology,3,
College of Arts and Sciences,Department of Anthropology,ANT,4034,Theories of Culture,3,
College of Arts and Sciences,Department of Anthropology,ANT,4114,Seminar in Archaeological Method and Theory,3,
College of Arts and Sciences,Department of Anthropology,ANT,4142,Old World Archaeology,3,
College of Arts and Sciences,Department of Anthropology,ANT,4143,European Archaeology,3,
College of Arts and Sciences,Department of Anthropology,ANT,4153,North American Archaeology,3,
College of Arts and Sciences,Department of Anthropology,ANT,4158,Florida Archaeology,3,
College of Arts and Sciences,Department of Anthropology,ANT,4163,Mesoamerican Archaeology,3,
College of Arts and Sciences,Department of Anthropology,ANT,4165,South American Archaeology,3,
College of Arts and Sciences,Department of Anthropology,ANT,4167,"Maya, Aztec, and Inka Civilizations",3,
College of Arts and Sciences,Department of Anthropology,ANT,4172,Historical Archaeology,3," 6AC, GCPC, SD16"
College of Arts and Sciences,Department of Anthropology,ANT,4176,Archaeology of Africa,3,
College of Arts and Sciences,Department of Anthropology,ANT,4178,The History & Archaeology of the African Diaspora,3,
College of Arts and Sciences,Department of Anthropology,ANT,4180,Laboratory Methods in Archaeology,3,
College of Arts and Sciences,Department of Anthropology,ANT,4181,Museum Methods,3,
College of Arts and Sciences,Department of Anthropology,ANT,4183C,Archaeological Science,4,
College of Arts and Sciences,Department of Anthropology,ANT,4185,Ancient Diets,3,
College of Arts and Sciences,Department of Anthropology,ANT,4197,Archaeology of Death and Burial,3,
College of Arts and Sciences,Department of Anthropology,ANT,4241,Anthropology of Religion,3, 6AC
College of Arts and Sciences,Department of Anthropology,ANT,4243,The Middle East and North Africa,3,
College of Arts and Sciences,Department of Anthropology,ANT,4260,Ancient Trade,3,
